chain,id,title,type_or_category,cross_block,code_class
BSC,B01-01,slisBNB → Venus core pool → borrow BNB → Lista re-stake loop,positional,yes,code-invisible
BSC,B01-02,Stader BNBx → Venus isolated pool → borrow BNB → BNBx re-stake loop,positional,yes,code-invisible
BSC,B01-03,ankrBNB → Lista Lending → borrow BNB → Ankr re-stake loop,positional,yes,code-invisible
BSC,B01-04,50/50 slisBNB + BNBx basket on Venus → borrow BNB → split re-stake,positional,yes,code-invisible
BSC,B01-05,stkBNB (pSTAKE) → Venus → borrow BNB → pSTAKE re-stake loop,positional,yes,code-invisible
BSC,B01-06,slisBNB Venus loop + Pendle PT-slisBNB rate hedge (3-mechanism),positional,yes,code-invisible
BSC,B01-07,BNBx → Lista Lending → borrow WBNB → Wombat WBNB/BNBx recycle (3-mech),positional,yes,code-invisible
BSC,B01-08,WBETH (bridged Beacon ETH) → Venus → borrow peg-ETH → re-mint loop,positional,yes,code-invisible
BSC,B02-01,slisBNB / WBNB PancakeSwap v3 single-pool flash arb,atomic,no,code-invisible
BSC,B02-02,"BNBx / WBNB Thena ve(3,3) vs Stader internal rate arb",atomic,no,code-invisible
BSC,B02-03,ankrBNB `ratio()` vs PCS v3 spot single-pool flash arb,atomic,no,code-invisible
BSC,B02-04,WBETH (BSC) `exchangeRate()` vs PCS v3 ETH/WBETH spot lag,atomic,no,code-invisible
BSC,B02-05,slisBNB / WBNB PancakeSwap StableSwap dynamic-fee balance-restoration arb,atomic,no,code-invisible
BSC,B02-06,Triangular stkBNB ↔ WBNB ↔ slisBNB cross-LST arb on Wombat + PCS v3 (3-mechanism),atomic,no,code-invisible
BSC,B02-07,slisBNB PCS v3 flash + Thena solidly-stable swap + Lista internal rate (3-mechanism),atomic,no,code-invisible
BSC,B02-08,"3-venue atomic MEV-style cycle on slisBNB (PCS v3 + Thena + Wombat, 3-mechanism)",atomic,no,code-visible
BSC,B03-01,lisUSD depeg atomic arb via PCS v3 flash + Lista payback,atomic,no,code-invisible
BSC,B03-02,slisBNB · Lista CDP recursive leverage loop,positional,yes,code-invisible
BSC,B03-03,lisUSD ↔ USDe cross-CDP carry basis,positional,yes,code-invisible
BSC,B03-04,lisUSD cross-venue StableSwap arb (PCS v3 ↔ Wombat),atomic,no,code-invisible
BSC,B03-05,Lista clip-auction keeper (lisUSD -> discounted slisBNB),liquidation,no,code-invisible
BSC,B03-06,Dual-collateral Lista (ETH + slisBNB) → lisUSD → PCS v3 LP,positional,yes,code-invisible
BSC,B03-07,lisUSD → Pendle PT lock + Venus secondary borrow,positional,yes,code-invisible
BSC,B03-08,slisBNB → Lista mint lisUSD → Venus borrow BNB → recursive restake,positional,yes,code-invisible
BSC,B04-01,PT-sUSDe BSC cash-and-carry (fixed-yield to maturity),positional,yes,code-invisible
BSC,B04-02,PT-slisBNB BSC cash-and-carry (BNB staking yield locked),positional,yes,code-invisible
BSC,B04-03,"YT-slisBNB points speculation (mint PY, sell PT, keep YT)",points,yes,code-invisible
BSC,B04-04,PT-sUSDe BSC near-maturity redemption arb (4-day carry),atomic,no,code-invisible
BSC,B04-05,PT-asBNB BSC + Venus collateral + USDT borrow (3-mechanism),positional,yes,code-invisible
BSC,B04-06,PT-USDe BSC + Lista CDP recursive (3-mechanism),positional,yes,code-invisible
BSC,B04-07,YT-asBNB Astherus airdrop / points speculation,points,yes,code-invisible
BSC,B04-08,PT-slisBNB Pendle + Venus collateral + Lista lisUSD borrow (3-mech),positional,yes,code-invisible
BSC,B04-09,Pendle BSC market PT vs Wombat / PCS spot arb (3-mechanism),atomic,no,code-invisible
BSC,B05-01,sUSDe → Venus collateral → borrow USDT → buy USDe → stake → recursive loop,positional,yes,code-invisible
BSC,B05-02,USDe peg arbitrage — PCS v3 flash → Wombat StableSwap → repay,atomic,no,code-invisible
BSC,B05-03,sUSDe → Lista lending → borrow lisUSD → swap USDe → re-stake loop,positional,yes,code-invisible
BSC,B05-04,Funding-flip rotation — sUSDe ↔ slisBNB (Ethena vs Lista BNB stake),positional,yes,code-invisible
BSC,B05-05,PT-sUSDe (Pendle) + Lista lending + USDe — 3-mechanism carry,positional,yes,code-invisible
BSC,B05-06,USDe Venus + PCS v3 flash atomic 3-mechanism position-builder,atomic,no,code-invisible
BSC,B05-07,sUSDe + Astherus asBNB + PCS LP — 3-mechanism triangular yield,atomic,no,code-invisible
BSC,B05-08,Ethena Reserve-Fund-related basis anomaly (sUSDe APY mean-reversion),positional,yes,code-invisible
BSC,B06-01,Venus Core Pool vs LST isolated pool — USDT supply/borrow rate arb,atomic,no,code-invisible
BSC,B06-02,Venus Core Pool VAI mint + Pancake StableSwap VAI/USDT carry,positional,yes,code-invisible
BSC,B06-03,Venus LST isolated pool — slisBNB high-LTV leveraged loop,positional,yes,code-invisible
BSC,B06-04,VAI depeg — atomic PCS v3 flash + Venus repayVAI arb,atomic,no,code-invisible
BSC,B06-05,Venus liquidation keeper — atomic flash + liquidate + DEX,liquidation,no,code-invisible
BSC,B06-06,Cross isolated-pool collateral migration (Venus Core → LST pool),positional,yes,code-invisible
BSC,B06-07,VAI mint + PCS StableSwap LP + Lista lisUSD CDP — stable trifecta,positional,yes,code-invisible
BSC,B06-08,Venus LST isolated pool — WBETH/WETH eMode-style loop,positional,yes,code-invisible
BSC,B07-01,PCS v3 USDT/WBNB 0.01% flash → Thena USDT/WBNB volatile pair arb,atomic,no,code-invisible
BSC,B07-02,PCS v3 BTCB/USDT 0.05% flash → Thena BTCB/USDT volatile arb,atomic,no,code-invisible
BSC,B07-03,PCS v3 CAKE/WBNB 0.25% flash → Thena CAKE/BNB vAMM arb,atomic,no,code-invisible
BSC,B07-04,PCS v3 USDC/USDT 0.01% flash → Wombat USDC→USDT → PCS StableSwap USDT→USDC → repay,atomic,no,code-invisible
BSC,B07-05,PCS v3 ETH/WBNB 0.05% flash → Thena ETH/BNB volatile arb,atomic,no,code-invisible
BSC,B07-06,PCS v3 cross-fee-tier USDT/WBNB micro-spread arb (0.01% vs 0.05% vs 0.25%),atomic,no,code-invisible
BSC,B07-07,PCS v3 flash → Pendle PT-sUSDe swap → Venus collateral & borrow,atomic,no,code-invisible
BSC,B07-08,PCS v3 USDC flash → Lista lisUSD mint → PCS StableSwap exit,atomic,no,code-invisible
BSC,B07-09,PCS v3 USDC flash + 4-DEX stable triangle (v2 / v3 / Wombat / Thena stable),atomic,no,code-invisible
BSC,B08-01,Thena slisBNB/BNB LP + gauge stake → THE emission farm,vote-bribe,yes,code-invisible
BSC,B08-02,veTHE lock → vote highest-bribe gauge → claim bribes,vote-bribe,yes,code-invisible
BSC,B08-03,PCS v3 USDe/USDT concentrated LP → MasterChef v3 → CAKE farm,vote-bribe,yes,code-invisible
BSC,B08-04,veTHE + veCAKE cross-protocol bribe basket on slisBNB/BNB,vote-bribe,yes,code-invisible
BSC,B08-05,PCS + Thena dual-gauge stake on slisBNB/BNB (3-mechanism),vote-bribe,yes,code-invisible
BSC,B08-06,veTHE + Pendle YT-THE + Thena LP combo (3-mechanism),vote-bribe,yes,code-invisible
BSC,B08-07,Thena bribe-auction front-run on epoch close,vote-bribe,yes,code-visible
